
                                                           CODEBOOK


                                                      Election Study 2001

                                                           CONTENTS

****    General

              VALUE  LABEL
                  1  Return part of territories
                  2  Return all
                  3  Occupy Israel
                  4  Occupy Israel, destroy most of population

              Data type: numeric
              Record/column: 1/23

      a24                Are you worried about being injured by Arabs?

              VALUE  LABEL
                  1  Not at all worried
                  2  Not worried
                  3  Worried
                  4  Very worried

              Data type: numeric
              Record/column: 1/24

****    Arguments for supporting peace agreement

      a25                If there's no agreement there will be war

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/25

      a26                An agreement will bring more security than territories

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/26

      a27                Peace will strengthen Israel's international position

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/27

      a28                Peace will strengthen Israel economically

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/28

      a29                Peace will end the conflict with the Palestinians and the Arab world

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/29

      a30                Which of the above reasons is the most convincing?

              VALUE  LABEL
                 25  War if no agreement
                 26  Treaty gives more security than territories
                 27  Strengthen international position
                 28  Strengthen economic position
                 29  End conflict

              Data type: numeric
              Missing-data code: 0
              Record/columns: 1/30-31

****    Arguments for not supporting peace agreement

      a32                The territories are important for security and must not be given up

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/32

      a33                The Arabs don't keep agreements

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/33

      a34                The settlers must not be removed from their homes since the government sent them there

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/34

      a35                A better agreement can be reached

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/35

      a36                Jerusalem and the Temple Mount are Jewish Holy sites and shouldn't be given up

              VALUE  LABEL
                  1  Not at all convincing
                  2  Not convincing
                  3  Convincing
                  4  Very convincing

              Data type: numeric
              Record/column: 1/36

      a37                Which of the above reasons is the most convincing?

              VALUE  LABEL
                 32  Do not give up territories
                 33  Cannot trust arabs
                 34  No removing settlers
                 35  Get better agreement
                 36  Do not give up jerusalem and temple mount

              Data type: numeric
              Missing-data code: 0
              Record/columns: 1/37-38

      a39                Level of satisfaction with Israeli democracy

              VALUE  LABEL
                  1  Very not satisfied
                  2  Not satisfied
                  3  Satisfied
                  4  Very satisfied

              Data type: numeric
              Record/column: 1/39

****    Ranking 4 significant values

      a40                Most important value

              Question asked until 17.01.2001 to Jews only

              VALUE  LABEL
                  1  Jewish majority
                  2  Greater Israel
                  3  Democracy
                  4  Peace

              Data type: numeric
              Record/column: 1/40

      a41                Second most important value

              Question asked until 17.01.2001 to Jews only

              VALUE  LABEL
                  1  Jewish majority
                  2  Greater Israel
                  3  Democracy
                  4  Peace

              Data type: numeric
              Record/column: 1/41

      a42                Third most important value

              Question asked until 17.01.2001 to Jews only

              VALUE  LABEL
                  1  Jewish majority
                  2  Greater Israel
                  3  Democracy
                  4  Peace

              Data type: numeric
              Record/column: 1/42

      a43                Fourth most important value

              Question asked until 17.01.2001 to Jews only

              VALUE  LABEL
                  1  Jewish majority
                  2  Greater Israel
                  3  Democracy
                  4  Peace

              Data type: numeric
              Record/column: 1/43

      a44                The value to be followed in the event of halachic-democratic contradiction

              VALUE  LABEL
                  1  Prefer democracy
                  2  Both
                  3  Prefer halacha

              Data type: numeric
              Record/column: 1/44
****    Support for the following

      a45                Extent of support for the Labour Party

              VALUE  LABEL
                  1  Hate
                 10  Strong sympathy

              Data type: numeric
              Record/columns: 1/45-46

      a46                Extent of support for Ariel Sharon

